Expression,Kana,Type,Accent,Chinese-Meaning,Verb-Type
バス停,バスてい,Noun,0,公車站,-
喫茶店,きっさてん,Noun,0,咖啡廳/茶館,-
郵便局,ゆうびんきょく,Noun,3,郵局,-
大使館,たいしかん,Noun,3,大使館,-
図書館,としょかん,Noun,2,圖書館,-
八百屋,やおや,Noun,0,蔬菜店,-
映画館,えいがかん,Noun,3,電影院,-
交差点,こうさてん,Noun,0,十字路口,-
入り口,いりぐち,Noun,0,入口,-
出口,でぐち,Noun,1,出口,-
お風呂,おふろ,Noun,2,浴室、澡堂,-
お手洗い,おてあらい,Noun,3,廁所、盥洗室,-
Hotel,ホテル,Noun,1,旅館、飯店,-
Apartment,アパート,Noun,2,公寓(apartment),-
Department,デパート,Noun,2,百貨公司(department),-
Elevator,エレベーター,Noun,3,電梯(elevator),-
Restaurant,レストラン,Noun,1,餐廳(西餐廳),-
Pool,プール,Noun,1,游泳池,-
Toilet,トイレ,Noun,1,廁所(toilet),-
上,うえ,Noun,0,上面,-
下,した,Noun,0,下面,-
左,ひだり,Noun,0,左邊,-
右,みぎ,Noun,0,右邊,-
中,なか,Noun,1,中間,-
前,まえ,Noun,1,前面,-
後ろ,うしろ,Noun,0,後面,-
東,ひがし,Noun,0,東,-
西,にし,Noun,0,西,-
南,みなみ,Noun,0,南,-
北,きた,Noun,0,北,-
内,うち,Noun,0,內部、裡面,-
外,そと,Noun,1,外部、外面,-
辺,へん,Noun,0,附近、一帶,-
隣,となり,Noun,0,旁邊、隔壁,-
横,よこ,Noun,0,旁邊,-
傍,そば,Noun,1,旁邊,-
周り,まわり,Noun,0,周圍,-
向こう,むこう,Noun,2,對面、前方、對方,-
縦,たて,Noun,1,直、縱,-
方,ほう,Noun,1,方向、方面／かた是方法的意思,-
近く,ちかく,Noun,2,附近,-
食べ物,たべもの,Noun,3.2,食物,-
ご飯,ごはん,Noun,1,飯,-
朝ご飯,あさごはん,Noun,3,早飯、早餐,-
昼ご飯,ひるごはん,Noun,3,午飯、午餐,-
晩ご飯,ばんごはん,Noun,3,晩飯、晩餐,-
夕飯,ゆうはん,Noun,0,晩飯、晩餐,-
お弁当,おべんとう,Noun,0,便當,-
果物,くだもの,Noun,2,水果,-
飴,あめ,Noun,0,糖果,-
お菓子,おかし,Noun,2,點心,-
料理,りょうり,Noun,1,料理,-
魚,さかな,Noun,0,魚,-
肉,にく,Noun,2,肉,-
牛肉,ぎゅうにく,Noun,0,牛肉,-
豚肉,ぶたにく,Noun,0,豬肉,-
鶏肉,とりにく,Noun,0,鶏肉,-
野菜,やさい,Noun,0,蔬菜,-
卵,たまご,Noun,2,蛋、卵,-
砂糖,さとう,Noun,2,砂糖,-
塩,しお,Noun,2,鹽巴,-
醤油,しょうゆ,Noun,0,醬油,-
飲み物,のみもの,Noun,2,飲料,-
水,みず,Noun,0,水,-
お茶,おちゃ,Noun,0,茶,-
紅茶,こうちゃ,Noun,0,紅茶,-
牛乳,ぎゅうにゅう,Noun,0,牛奶,-
お酒,おさけ,Noun,0,酒,-
Beer,ビール,Noun,1,啤酒,-
Coffee,コーヒー,Noun,3,珈琲,-
Juice,ジュース,Noun,1,果汁,-
Curry,カレー,Noun,0,咖哩,-
Pan(Bread),パン,Noun,1,麵包,-
Butter,バター,Noun,1,奶油(Butter),-
自然,しぜん,Noun,0,自然、大自然,-
天気,てんき,Noun,1,天氣,-
空,そら,Noun,1,天空,-
山,やま,Noun,2,山,-
川,かわ,Noun,2,河川,-
海,うみ,Noun,1,海,-
風,かぜ,Noun,0,風,-
水,みず,Noun,0,水,-
火,ひ,Noun,1,火（か是五行/ひ是燃燒的火）,-
花,はな,Noun,2,花,-
草,くさ,Noun,2,草,-
木,き,Noun,1,樹木,-
晴れ,はれ,Noun,2,晴天,-
曇り,くもり,Noun,3,陰天,-
雨,あめ,Noun,1,雨、雨天,-
雪,ゆき,Noun,2,雪,-
自転車,じてんしゃ,Noun,2,腳踏車,-
車,くるま,Noun,0,車子,-
電車,でんしゃ,Noun,0.1,電車、火車,-
飛行機,ひこうき,Noun,2,飛機,-
空港,くうこう,Noun,0,機場,-
切符,きっぷ,Noun,0,票、(車票、機票),-
荷物,にもつ,Noun,1,行李,-
Bike,バイク,Noun,1,機車,-
Bus,バス,Noun,1,公車(bus),-
Taxi,タクシー,Noun,1,計程車(taxi),-
着物,きもの,Noun,0,和服,-
服,ふく,Noun,2,衣服,-
和服,わふく,Noun,0,和服,-
洋服,ようふく,Noun,0,西服,-
上着,うわぎ,Noun,0,上衣、外衣,-
下着,したぎ,Noun,0,内衣,-
背広,せびろ,Noun,0,西裝,-
Coat,コート,Noun,1,大衣、外衣,-
Shirt,シャツ,Noun,1,襯衫(shirt),-
T-shirt,T シャツ,Noun,0,T 裇 (Tshirt),-
White-shirt,ワイシャツ,Noun,0,白襯衫(white shirt),-
